Term,Definition,,
greatest lower bound,largest value that is less than or equal to a specified subset of values/elements,6.1,
universal life insurance,"type of cash value life insurance where the policy's cash value is the excess of premium payments over the cost of insurance, accumulated with interest, with adjustable premiums and coverage over time",6.1,-
variable life insurance,type of life insurance whose face value and coverage term can vary depending upon the performance of underlying invested securities,6.1,-
sampling variability,how much an estimate can vary between samples,6.1,-
central limit theorem,The sample mean and sample sum of a random sample of n from a populatio will converge to a normal curve as the sample size n grows,6.1,
Cauchy distribution,"a continuous distribution that represents the distribution of the ratio of two independent normally random variables, where the denominator distribution has mean zero",6.1,
Kolmogorov-Smirnov test,a nonparametric statistical test used to determine if a data sample could come from a hypothesized continuous probability distribution,6.1,
bootstrap,a method of sampling with replacement from the original dataset to create additional simulated datasets of the same size as the original,6.2,
non-parametric method,a statistical method where no assumption is made about the distribution of the population,6.2,
parametric method,a statistical method where a prior assumption is made about the distribution or model form,6.2,
bias,The difference between the expected value of an estimator and the parameter being estimated. Bias is an estimation error that does not become smaller as one observes larger sample sizes.,6.2,
bias-corrected estimator,"if an estimator is known to be consistently biased in a manner, it can be corrected using a factor to be come less biased or unbiased",6.2,
Jensen inequality,"for a convex function f(x), f(expected value of x) <= Expected value of f(x)",6.2,
natural estimator,an estimator that uses the sample moments as the estimators for the population,6.2,
percentile bootstrap interval,"confidence interval for the parameter estimates determined using the actual percentile results from the bootstrap sampling approach, as every bootstrap sample has an associated parameter estimate(s) that can be ranked against the others",6.2,
tail value-at-risk,the expected value of a risk given that the risk exceeds a value-at-risk,6.2,
k-Fold Cross-Validation,"a type of validation method where the data is randomly split into k groups, and each of the k groups is held out as a test dataset in turn, while the other k-1 gropus are used for distribution or model fitting, with the process repeated k times in total",6.3,
leave-one-out cross-validation,"a special case of k-fold cross validation, where each single data point gets a turn in being the lone hold-out test data point, and n separate models in total are built and tested",6.3,
jackknife statistics,"to calculate an estimator, leave out each observation in turn, calculate the sample estimator statistic each time, and average over the n separate estimates",6.3,
coefficient of variation,"standard deviation divided by the mean of a distribution, to measure variability in terms of units of the mean",6.3,
accept-reject mechanism,"a sampling method that is used where the random sample is discarded if not within a certain pre-specified range [a, b] and is commonly used when the traditional inverse transform method cannot be easily used",6.4,
importance sampling mechanism,type of sampling method where values in the region of interest can be over-sampled or values outside the region of interest can be under-sampled,6.4,
ergodic theorem,ergodic theory studies the behavior of a dynamical system when it is allowed to run for an extended time,6.5,
Markov Process,"a stochastic (time dependent) process that satisfies memorylessness, meaning future predictions of the process can be made solely based on its present state and not the historical path",6.5,
invariant measure,any mathematical measure that is preserved by a function (the mean is an example),6.5,
composant,"component (smaller, self-contained part of larger entity)",6.5,
Markov chain Monte Carlo (MCMC) methods,a family of algorithms for sampling from a probability distribution using a Markov chain with the target distribution as its equilibrium distribution,6.5,
Hastings Metropolis algorithm,"a Markov chain Monte Carlo (MCMC) method for random sampling from a probability distribution where values are iteratively generated, with the distribution of the next sample dependent only on the current sample value, and at each iteration, the candidate sample can be either accepted or rejected",6.5,
Gibbs sampler,a Markov chain Monte Carlo (MCMC) method to obtain a sequence of random samples from a specified multivariate continuous probability distribution,6.5,
